>245, dA[0.107,0.102] dB[0.203,0.086] g[4.827,6.534]
>246, dA[0.128,0.034] dB[0.033,0.132] g[3.913,5.370]
>247, dA[0.021,0.041] dB[0.142,0.129] g[3.929,4.246]
>248, dA[0.024,0.039] dB[0.401,0.235] g[8.120,9.086]
>249, dA[0.119,0.196] dB[0.182,0.242] g[5.813,6.624]
>250, dA[0.043,0.139] dB[0.088,0.061] g[6.210,8.584]
>251, dA[0.110,0.033] dB[0.036,0.163] g[3.516,4.407]
>252, dA[0.066,0.055] dB[0.303,0.184] g[4.130,5.450]
>253, dA[0.182,0.421] dB[0.156,0.330] g[3.429,4.613]
>254, dA[0.091,0.256] dB[0.166,0.055] g[5.239,6.875]
>255, dA[0.094,0.118] dB[0.088,0.130] g[4.777,6.538]
>256, dA[0.426,0.210] dB[0.061,0.089] g[4.311,5.441]
>257, dA[0.060,0.233] dB[0.058,0.338] g[3.980,5.512]
>258, dA[0.038,0.129] dB[0.240,0.028] g[5.822,7.443]
>259, dA[0.070,0.093] dB[0.086,0.295] g[7.474,10.298]
>260, dA[0.336,0.141] dB[0.082,0.112] g[2.594,3.367]
>261, dA[0.047,0.071] dB[0.177,0.061] g[5.627,7.043]
>262, dA[0.180,0.070] dB[0.468,0.225] g[3.472,4.027]
>263, dA[0.070,0.236] dB[0.034,0.326] g[3.478,4.492]
>264, dA[0.100,0.108] dB[0.118,0.089] g[6.434,8.802]
>265, dA[0.237,0.128] dB[0.124,0.032] g[4.008,4.394]
>266, dA[0.090,0.039] dB[0.196,0.287] g[5.195,7.007]
>267, dA[0.060,0.147] dB[0.098,0.174] g[5.674,7.860]
>268, dA[0.311,0.029] dB[0.193,0.089] g[4.025,4.625]
>269, dA[0.036,0.110] dB[0.285,0.095] g[5.396,5.880]
>270, dA[0.070,0.108] dB[0.223,0.303] g[4.521,5.496]
>271, dA[0.066,0.035] dB[0.103,0.094] g[5.847,8.283]
>272, dA[0.161,0.110] dB[0.222,0.159] g[5.399,5.528]
>273, dA[0.043,0.129] dB[0.101,0.263] g[6.422,7.843]
>274, dA[0.264,0.349] dB[0.126,0.139] g[6.940,9.349]
>275, dA[0.054,0.255] dB[0.268,0.247] g[4.246,4.993]
>276, dA[0.239,0.230] dB[0.226,0.269] g[4.321,5.313]
>277, dA[0.098,0.057] dB[0.350,0.119] g[6.912,7.767]
>278, dA[0.162,0.082] dB[0.129,0.059] g[4.141,5.840]
>279, dA[0.041,0.053] dB[0.127,0.138] g[3.952,4.714]
>280, dA[0.138,0.124] dB[0.050,0.197] g[5.013,7.544]
>281, dA[0.091,0.070] dB[0.101,0.081] g[4.104,5.536]
>282, dA[0.069,0.128] dB[0.126,0.225] g[5.281,7.361]
>283, dA[0.057,0.103] dB[0.141,0.062] g[4.938,7.049]
>284, dA[0.100,0.074] dB[0.124,0.264] g[5.266,7.255]
>285, dA[0.276,0.102] dB[0.252,0.106] g[3.740,4.512]
>286, dA[0.131,0.264] dB[0.078,0.296] g[5.998,7.710]
>287, dA[0.069,0.025] dB[0.192,0.040] g[5.715,7.511]
>288, dA[0.223,0.104] dB[0.070,0.208] g[2.771,3.691]
>289, dA[0.067,0.174] dB[0.090,0.160] g[5.169,6.827]
>290, dA[0.039,0.056] dB[0.172,0.174] g[6.411,7.562]
>291, dA[0.187,0.061] dB[0.148,0.152] g[5.147,7.139]
>292, dA[0.033,0.089] dB[0.251,0.131] g[5.178,5.666]
>293, dA[0.216,0.096] dB[0.240,0.210] g[4.511,5.960]
>294, dA[0.126,0.064] dB[0.111,0.124] g[3.537,4.561]
>295, dA[0.080,0.096] dB[0.390,0.193] g[5.612,6.139]
>296, dA[0.115,0.139] dB[0.067,0.097] g[2.887,3.686]
>297, dA[0.098,0.063] dB[0.098,0.180] g[2.908,3.854]
>298, dA[0.034,0.024] dB[0.143,0.180] g[4.800,6.254]
>299, dA[0.030,0.026] dB[0.106,0.087] g[5.676,7.212]
>300, dA[0.029,0.017] dB[0.081,0.116] g[5.603,7.071]
>301, dA[0.030,0.021] dB[0.130,0.166] g[5.070,6.678]
>302, dA[0.036,0.194] dB[0.117,0.073] g[4.499,5.357]
>303, dA[0.051,0.072] dB[0.077,0.089] g[3.941,4.735]
>304, dA[0.090,0.039] dB[0.148,0.084] g[6.638,9.031]
>305, dA[0.218,0.114] dB[0.050,0.194] g[5.398,5.590]
>306, dA[0.063,0.243] dB[0.116,0.078] g[5.579,5.875]
>307, dA[0.149,0.223] dB[0.119,0.179] g[3.109,4.181]
>308, dA[0.263,0.199] dB[0.136,0.156] g[3.591,4.809]
>309, dA[0.096,0.071] dB[0.099,0.063] g[5.148,6.087]
>310, dA[0.062,0.081] dB[0.218,0.215] g[6.510,8.298]
>311, dA[0.082,0.119] dB[0.101,0.183] g[3.650,5.020]
>312, dA[0.061,0.047] dB[0.128,0.144] g[4.978,5.121]
>313, dA[0.053,0.134] dB[0.181,0.119] g[5.401,6.604]
>314, dA[0.044,0.033] dB[0.142,0.070] g[5.871,7.378]
>315, dA[0.184,0.068] dB[0.222,0.301] g[6.840,7.141]
>316, dA[0.074,0.073] dB[0.104,0.203] g[7.138,10.376]
>317, dA[0.132,0.162] dB[0.124,0.036] g[4.400,5.468]
>318, dA[0.174,0.150] dB[0.113,0.254] g[4.429,5.850]
>319, dA[0.026,0.053] dB[0.192,0.140] g[5.902,7.420]
>320, dA[0.044,0.031] dB[0.332,0.152] g[3.755,5.336]
>321, dA[0.020,0.079] dB[0.083,0.130] g[3.935,5.349]
>322, dA[0.042,0.044] dB[0.155,0.106] g[4.835,6.057]
>323, dA[0.053,0.014] dB[0.066,0.253] g[3.200,4.375]
>324, dA[0.022,0.046] dB[0.180,0.138] g[5.697,7.203]
>325, dA[0.033,0.057] dB[0.161,0.126] g[5.431,6.384]
>326, dA[0.073,0.093] dB[0.192,0.172] g[6.033,8.171]
>327, dA[0.035,0.050] dB[0.049,0.195] g[4.096,5.550]
>328, dA[0.157,0.098] dB[0.192,0.167] g[5.909,8.537]
>329, dA[0.159,0.098] dB[0.226,0.062] g[4.753,5.089]
>330, dA[0.058,0.091] dB[0.345,0.291] g[7.652,9.394]
>331, dA[0.198,0.083] dB[0.058,0.137] g[3.961,5.361]
>332, dA[0.043,0.061] dB[0.136,0.102] g[5.586,6.481]
>333, dA[0.113,0.055] dB[0.166,0.148] g[3.827,5.048]
